SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_013376435.1_ASM1337643v1,Agrocybe cylindracea,AC9,PRJNA353318,64608,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe cylindracea,fCXGAC9
GCA_013053245.1_LU_AGP_1.0,Agrocybe pediades,CBS 102.39,PRJNA496353,84607,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades,fD9613
GCA_964017145.1_gfAgrPrae1.1,Agrocybe praecox,,PRJEB63448;PRJEB74180,71668,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe praecox,fFUN006
GCA_022814335.1_ASM2281433v1,Agyrium rufum,Spribille 39798,PRJNA795879,443868,dikarya,Ascomycota,,Lecanoromycetes,,Pertusariales,Pertusariaceae,Agyrium,Agyrium rufum,fMMC34
GCA_030783385.1_ASM3078338v1,Akanthomyces dipterigenus,MBC 701,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,fFUN007
GCA_001636795.1_LEL_1.0,Akanthomyces lecanii RCEF 1005,RCEF 1005,PRJNA72733,1081108,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,fLEL
GCF_028009165.1_ASM2800916v1,Akanthomyces muscarius,Ve6,PRJNA777543,2231603,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius,fRBQ25
GCA_003314395.1_ASM331439v1,Albatrellus ellisii,MG60,PRJNA454572,80570,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus ellisii,fFUN008
GCA_003314695.1_ASM331469v1,Albatrellus sp. MG142,MG142,PRJNA454572,2175974,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus sp. MG142,fFUN009
GCA_020081605.1_ASM2008160v1,Albifimbria verrucaria,IMI 368023,PRJNA736674,1859699,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria,fKP697
GCA_001600555.1_JCM_11844_assembly_v001,Albophoma yamanashiensis,JCM 11844,PRJDB3823,1635095,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Albophoma,Albophoma yamanashiensis,fFUN010
GCA_905337325.1_GTX0161_lecanoromycete,Alectoria fallacina,,PRJEB42325,1903189,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria fallacina,fETECTW03576
GCA_009733775.1_ASM973377v1,Alectoria sarmentosa,MAF-Lich 21536,PRJNA588068,111643,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa,fGIX99
GCA_024752435.1_ASM2475243v1,Allantophomopsis cytisporea,ATCC 66955,PRJNA866153,1484957,dikarya,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis cytisporea,fFUN011
GCA_024752465.1_ASM2475246v1,Allantophomopsis lycopodina,ATCC 66958,PRJNA866153,334518,dikarya,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis lycopodina,fFUN012
GCA_030581615.1_ASM3058161v1,Alloascoidea africana,NRRL Y-6762-3,PRJNA736342,27309,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Alloascoideaceae,Alloascoidea,Alloascoidea africana,fFUN013
GCA_001600815.1_JCM_7604_assembly_v001,Alloascoidea hylecoeti,JCM 7604,PRJDB3734,54196,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Alloascoideaceae,Alloascoidea,Alloascoidea hylecoeti,fFUN014
GCA_030565225.1_ASM3056522v1,Allodekkera sacchari,CBS 14167,PRJNA736342,1936035,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Allodekkera,Allodekkera sacchari,fFUN015
GCA_027604705.1_ASM2760470v1,Allomyces arbusculus,Burma 1F,PRJNA581157,64504,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces arbusculus,fGGF31
GCA_027604645.1_ASM2760464v1,Allomyces javanicus,California 12,PRJNA581158,64505,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces javanicus,fGGF32
GCA_000151295.1_A_macrogynus_V3,Allomyces macrogynus ATCC 38327,ATCC 38327,PRJNA20563;PRJNA71873,578462,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces macrogynus,fAMAG
GCA_037044435.1_ASM3704443v1,Alternaria alstroemeriae,LH_A124,PRJNA1025352,1111114,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alstroemeriae,fFUN016
GCA_036971565.1_ALTB1129b1.0,Alternaria alternarina,TB-1129,PRJNA748521,1281297,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternarina,fKZC84
GCF_001642055.1_Altal1,Alternaria alternata,SRC1lrK2f,PRJNA239482,5599,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,fCC77
GCA_022814545.1_ASM2281454v1,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,PRJNA800051,1187901,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria angustiovoidea,fOHC49
GCF_004154835.1_ASM415483v1,Alternaria arborescens,FERA 675,PRJNA360212,156630,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria arborescens,fAG0111
GCF_024043155.1_ASM2404315v1,Alternaria arbusti,BMP 1465,PRJNA706766,232088,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria arbusti,fJ4E93
GCF_907166805.1_ALTATR162,Alternaria atra,CS162,PRJEB42493,119953,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria atra,fFUN017
GCA_036768465.1_ASM3676846v1,Alternaria brassicae,PNT,PRJNA1071297,29911,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicae,fV2W22
GCA_002796735.1_ASM279673v1,Alternaria brassicicola,Abra43,PRJNA418710,29001,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola,fCVH00
GCF_013036055.1_ASM1303605v1,Alternaria burnsii,CBS107.38,PRJNA600135,1187904,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria burnsii,fGT037
GCA_020284155.1_ASM2028415v1,Alternaria cf. alternata,R-IC-06-P1,PRJNA644637,2738401,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria cf. alternata,fICW40
GCF_024043145.1_ASM2404314v1,Alternaria conjuncta,BMP 0040,PRJNA706766,181017,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria conjuncta,fJ4E93
GCA_001950455.1_JCM_1940_assembly_v001,Alternaria consortialis,JCM 1940,PRJDB3614,230004,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria consortialis,fFUN018
GCA_025504955.1_ASM2550495v1,Alternaria dauci,CALB1,PRJNA867523,48095,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria dauci,fNUK94
GCA_037044395.1_ASM3704439v1,Alternaria destruens,LH_A593,PRJNA1025352,230003,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria destruens,fFUN019
GCF_023757985.1_ASM2375798v1,Alternaria ethzedia,BMP 0044,PRJNA706766,181014,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria ethzedia,fJ4E93
GCA_004156025.2_ASM415602v2,Alternaria gaisen,FERA 650,PRJNA360212,167740,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria gaisen,fAG0111
GCA_009289805.1_ASM928980v1,Alternaria gansuensis,LYZ1412,PRJNA574205,644589,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria gansuensis,fF7G14
GCF_023758085.1_ASM2375808v1,Alternaria hordeiaustralica,BMP 2776,PRJNA706766,1187925,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria hordeiaustralica,fJ4E93
GCF_024043165.1_ASM2404316v1,Alternaria incomplexa,BMP 0042,PRJNA706766,1187928,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria incomplexa,fJ4E93
GCF_024043175.1_ASM2404317v1,Alternaria infectoria,BMP 0036,PRJNA706766,45303,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria infectoria,fJ4E93
GCA_019059555.1_ASM1905955v1,Alternaria longipes,CBS 540.94,PRJNA736258,160389,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria longipes,fKPX10
GCF_023757995.1_ASM2375799v1,Alternaria metachromatica,BMP 0045,PRJNA706766,283354,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria metachromatica,fJ4E93
GCF_023758075.1_ASM2375807v1,Alternaria novae-zelandiae,BMP 2774,PRJNA706766,430562,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria novae-zelandiae,fJ4E93
GCA_040583965.1_DAOMC238619_v1,Alternaria oregonensis,DAOMC238619,PRJNA612050,283353,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria oregonensis,fFUN020
GCA_019702505.1_ASM1970250v1,Alternaria panax,BNCC115425,PRJNA608755,48097,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria panax,fG6011
GCA_029783965.1_RDWU_Aporii_p.ctg,Alternaria porri,Apn-Nashik,PRJNA916367,48098,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria porri,fO9Z67
GCF_024291825.1_ASM2429182v1,Alternaria postmessia,BMP 2775,PRJNA706766,1187938,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria postmessia,fJ4E93
GCF_020736505.1_Altro1,Alternaria rosae,MPI-PUGE-AT-0040,PRJNA347188,1187941,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria rosae,fBKA58
GCA_002952155.1_ASM295215v1,Alternaria solani,NL03003,PRJNA391093,48100,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria solani,fCEP19
GCA_024321975.1_ASM2432197v1,Alternaria sp. 'sect. Undifilum',W740-01,PRJNA776965,2896643,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. 'sect. Undifilum',fLL635
GCA_023758125.1_ASM2375812v1,Alternaria sp. Ai002NY15,Ai002NY15,PRJNA706766,2817039,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. Ai002NY15,fJ4E93
GCA_023758005.1_ASM2375800v1,Alternaria sp. BMP 0032,BMP 0032,PRJNA706766,2817042,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. BMP 0032,fJ4E93
GCA_023758145.1_ASM2375814v1,Alternaria sp. BMP 2799,BMP 2799,PRJNA706766,2817041,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. BMP 2799,fJ4E93
GCA_040584015.1_DAOMC225332_v1,Alternaria sp. DAOMC 225332,DAOMC225332,PRJNA612050,3075839,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DAOMC 225332,fFUN021
GCA_040583805.1_DET2042_v1,Alternaria sp. DET2042,DET2042,PRJNA612050,2803140,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2042,fFUN022
GCA_040583825.1_DET2072_v1,Alternaria sp. DET2072,DET2072,PRJNA612050,2803138,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2072,fFUN023
GCA_040583765.1_DET2103_v1,Alternaria sp. DET2103,DET2103,PRJNA612050,2803137,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2103,fFUN024
GCA_040583745.1_DET2104_v1,Alternaria sp. DET2104,DET2104,PRJNA612050,2803136,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2104,fFUN025
GCA_040583725.1_DET2105_v1,Alternaria sp. DET2105,DET2105,PRJNA612050,2803135,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2105,fFUN026
GCA_040583705.1_DET2106_v1,Alternaria sp. DET2106,DET2106,PRJNA612050,2803134,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2106,fFUN027
GCA_040583685.1_DET2107_v1,Alternaria sp. DET2107,DET2107,PRJNA612050,2803133,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2107,fFUN028
GCA_040583665.1_KAS5446_v1,Alternaria sp. KAS5446,KAS5446,PRJNA612050,2803129,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5446,fFUN029
GCA_040583645.1_KAS5449_v1,Alternaria sp. KAS5449,KAS5449,PRJNA612050,2803128,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5449,fFUN030
GCA_040583605.1_KAS5470_v1,Alternaria sp. KAS5470,KAS5470,PRJNA612050,2803127,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5470,fFUN031
GCA_040583625.1_KAS5474_v1,Alternaria sp. KAS5474,KAS5474,PRJNA612050,2803126,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5474,fFUN032
GCA_040583575.1_KAS5477_v1,Alternaria sp. KAS5477,KAS5477,PRJNA612050,2803125,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5477,fFUN033
GCA_040583525.1_KAS5486_v1,Alternaria sp. KAS5486,KAS5486,PRJNA612050,2803124,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5486,fFUN034
GCA_040583505.1_KAS5506_v1,Alternaria sp. KAS5506,KAS5506,PRJNA612050,2803123,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5506,fFUN035
GCA_023621305.1_ASM2362130v1,Alternaria sp. M3903,M3903,PRJNA833221,2940395,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. M3903,fFUN036
GCA_023621335.1_ASM2362133v1,Alternaria sp. M3908,M3908,PRJNA833221,2940393,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. M3908,fFUN037
GCA_003574525.1_ASM357452v1,Alternaria sp. MG1,MG1,PRJNA417218,1678846,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. MG1,fCUC08
GCA_023621325.1_ASM2362132v1,Alternaria sp. S3601,S3601,PRJNA833221,2940394,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. S3601,fFUN038
GCA_024606205.1_ASM2460620v1,Alternaria sp. SPS-2,SPS-2,PRJNA832572,2963890,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. SPS-2,fM1L50
GCA_004156035.1_ASM415603v1,Alternaria tenuissima,FERA 1166,PRJNA360212,119927,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria tenuissima,fAG0111
GCF_023758025.1_ASM2375802v1,Alternaria triticimaculans,BMP 0046,PRJNA706766,297637,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria triticimaculans,fJ4E93
GCA_040583995.1_DAOMC238612_v1,Alternaria triticina,DAOMC238612,PRJNA612050,216836,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria triticina,fFUN039
GCF_023758065.1_ASM2375806v1,Alternaria ventricosa,BMP 2768,PRJNA706766,1187951,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria ventricosa,fJ4E93
GCF_023758015.1_ASM2375801v1,Alternaria viburni,BMP 2772,PRJNA706766,566460,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria viburni,fJ4E93
GCA_030386735.1_Fv_Alternosema1,Alternosema astaquatica,1,PRJNA950224,3037678,fungi,Microsporidia,,,,,,Alternosema,Alternosema astaquatica,fP7V55
GCA_026054675.1_ASM2605467v1,Alyxoria varia,Spribille s.n. 20.09.2020/TS-e1968,PRJNA833438,91480,dikarya,Ascomycota,,Arthoniomycetes,,Arthoniales,Lecanographaceae,Alyxoria,Alyxoria varia,fOMP81
GCA_001983365.1_ASM198336v1,Amanita bisporigera,Ingham01,PRJNA339438,87325,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita bisporigera,fBFX41
